srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,Arkalgud,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Arsikere,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Athani,2019-20,0.0,0.0,1.0,500.0,1,500,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Aurad,2019-20,,,,,0,0,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Babaleshwara,2019-20,0.0,0.0,1.0,1000.0,1,1000,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Badami,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagalkote,2019-20,0.0,0.0,2.0,4600.0,2,4600,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bailhongal,2019-20,0.0,0.0,0.0,0.0,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ballari,2019-20,0.0,0.0,23.0,144150.0,23,144150,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore-East,2019-20,,,,,0,0,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore (North),2019-20,0.0,0.0,4.0,5492.0,4,5492,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore-South,2019-20,,,,,0,0,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangarpet,2019-20,0.0,0.0,0.0,0.0,0,0,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bantwal,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavakalyan,2019-20,0.0,0.0,1.0,75.0,1,75,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavan Bagewadi,2019-20,0.0,0.0,0.0,0.0,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belagavi,2019-20,0.0,0.0,7.0,4515.0,7,4515,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belthangady,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belur,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhadravathi,2019-20,,,,,0,0,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhalki,2019-20,,,,,0,0,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhatkal,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bidar,2019-20,0.0,0.0,2.0,2560.0,2,2560,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bijapur,2019-20,0.0,0.0,11.0,21820.0,11,21820,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bilagi,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bramhavara,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Byadagi,2019-20,0.0,0.0,24.0,108350.0,24,108350,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bynduru,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chadachana,2019-20,0.0,0.0,0.0,0.0,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Challakere,2019-20,0.0,0.0,3.0,15600.0,3,15600,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channagiri,2019-20,,,,,0,0,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channarayapatna,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikkodi,2019-20,0.0,0.0,0.0,0.0,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikmagalur,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chiknayakanahalli,2019-20,0.0,0.0,0.0,0.0,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chincholi,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chitradurga,2019-20,0.0,0.0,0.0,0.0,0,0,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chittaguppa,2019-20,,,,,0,0,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chittapur,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
