ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
152,India,29,Karnataka,738,Vijayanagar,5496,Hadagalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
153,India,29,Karnataka,738,Vijayanagar,5497,Hagaribommanahalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
154,India,29,Karnataka,738,Vijayanagar,5510,Harapanahalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
155,India,29,Karnataka,738,Vijayanagar,5498,Hosapete,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
156,India,29,Karnataka,738,Vijayanagar,7108,Kotturu,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
157,India,29,Karnataka,738,Vijayanagar,5502,Kudligi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
28,India,29,Karnataka,524,Bagalkote,5443,Jamkhandi,2019-20,1.0,750.0,0.0,0.0,1,750,2019,"Financial Year (Apr - Mar), 2019"
159,India,29,Karnataka,524,Bagalkote,5444,Bilgi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
162,India,29,Karnataka,524,Bagalkote,5445,Mudhol,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
196,India,29,Karnataka,524,Bagalkote,5446,Badami,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
52,India,29,Karnataka,524,Bagalkote,5447,Bagalkot,2019-20,0.0,0.0,2.0,4600.0,2,4600,2019,"Financial Year (Apr - Mar), 2019"
150,India,29,Karnataka,524,Bagalkote,5448,Hungund,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
160,India,29,Karnataka,524,Bagalkote,7061,Guledgudda,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
161,India,29,Karnataka,524,Bagalkote,7062,Ilkal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
163,India,29,Karnataka,524,Bagalkote,7063,Rabakavi Banahatti,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
56,India,29,Karnataka,525,Bengaluru Urban,5542,Bengaluru North,2019-20,0.0,0.0,4.0,5492.0,4,5492,2019,"Financial Year (Apr - Mar), 2019"
174,India,29,Karnataka,525,Bengaluru Urban,5543,Bengaluru South,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
173,India,29,Karnataka,525,Bengaluru Urban,5544,Bengaluru East,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
61,India,29,Karnataka,525,Bengaluru Urban,5545,Anekal,2019-20,0.0,0.0,6.0,10287.0,6,10287,2019,"Financial Year (Apr - Mar), 2019"
175,India,29,Karnataka,525,Bengaluru Urban,7103,Yelahanka,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
54,India,29,Karnataka,526,Bengaluru Rural,5601,Nelamangala,2019-20,0.0,0.0,1.0,5000.0,1,5000,2019,"Financial Year (Apr - Mar), 2019"
172,India,29,Karnataka,526,Bengaluru Rural,5602,Dodda Ballapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
18,India,29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
