srcStateName,srcDistrictName,srcYear,Country,StateCode,StateName,YearCode,DistrictCode,Year,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,ANANTNAG,2011-12,India,1,JAMMU AND KASHMIR,2011,1,"Agriculture Year (Jul - Jun), 2011",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2012-13,India,1,JAMMU AND KASHMIR,2012,1,"Agriculture Year (Jul - Jun), 2012",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2013-14,India,1,JAMMU AND KASHMIR,2013,1,"Agriculture Year (Jul - Jun), 2013",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2014-15,India,1,JAMMU AND KASHMIR,2014,1,"Agriculture Year (Jul - Jun), 2014",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2015-16,India,1,JAMMU AND KASHMIR,2015,1,"Agriculture Year (Jul - Jun), 2015",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2016-17,India,1,JAMMU AND KASHMIR,2016,1,"Agriculture Year (Jul - Jun), 2016",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2017-18,India,1,JAMMU AND KASHMIR,2017,1,"Agriculture Year (Jul - Jun), 2017",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,ANANTNAG,2018-19,India,1,JAMMU AND KASHMIR,2018,1,"Agriculture Year (Jul - Jun), 2018",ANANTNAG,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2011-12,India,1,JAMMU AND KASHMIR,2011,2,"Agriculture Year (Jul - Jun), 2011",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BADGAM,2012-13,India,1,JAMMU AND KASHMIR,2012,2,"Agriculture Year (Jul - Jun), 2012",Budgam,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
