Country,State,District,Year,Reported land area ,Forest land area,Land area under non-agricultural uses,Barren and unculturable land area,Permanent pasture and other grazing land area,Land under miscellaneous Tree Crops and Groves not included in Net Area Sown,Culturable waste land area,Fallow lands other than current fallow lands,Current Fallow land area,Net sown land area,Cropped land area,Land area sown more than once
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2016",1535900.000,500961.000,182140.000,221834.000,8936.000,6799.000,44719.000,91286.000,140781.000,338444.000,375045.000,36601.000
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2018",32180.000,0.000,515.000,417.000,750.000,585.000,1838.000,1388.000,1349.000,25338.000,37910.000,12572.000
India,Arunachal Pradesh,Unknown Districts Of India,"Agriculture Year (Jul - Jun), 2011",433153.000,0.000,22114.000,35526.000,15453.000,32499.000,47284.000,61706.000,33112.000,185459.000,243553.000,58094.000
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2017",1535900.000,500961.000,182140.000,221834.000,8804.000,6676.000,44703.000,97050.000,137933.000,335799.000,371033.000,35234.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2015",32214.000,0.000,515.000,417.000,750.000,610.000,1888.000,1538.000,1474.000,25022.000,35722.000,10700.000
India,Andhra Pradesh,West Godavari,"Agriculture Year (Jul - Jun), 2016",850665.000,132902.000,129352.000,40155.000,12005.000,7557.000,16185.000,22457.000,30315.000,459737.000,687420.000,227683.000
India,Arunachal Pradesh,Lower Siang,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Guntur,"Agriculture Year (Jul - Jun), 2015",1139100.000,161941.000,176331.000,31612.000,16450.000,24180.000,26677.000,42058.000,121823.000,538028.000,676344.000,138316.000
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Andhra Pradesh,Anantapur,"Agriculture Year (Jul - Jun), 2011",1913000.000,196978.000,149029.000,167469.000,5848.000,9416.000,48856.000,85754.000,200395.000,1049255.000,1114083.000,64828.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2016",32213.000,0.000,515.000,417.000,750.000,610.000,1838.000,1438.000,1349.000,25296.000,37178.000,11882.000
India,Arunachal Pradesh,Tawang,"Agriculture Year (Jul - Jun), 2015",12919.000,0.000,597.000,725.000,391.000,1465.000,3206.000,1324.000,1033.000,4178.000,5709.000,1531.000
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2011",1515100.000,452018.000,156253.000,152918.000,34912.000,29496.000,45431.000,120353.000,168907.000,354812.000,408348.000,53536.000
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2018",1116100.000,441166.000,111075.000,130404.000,2696.000,31434.000,9884.000,39481.000,81857.000,268103.000,323822.000,55719.000
India,Andhra Pradesh,Kurnool,"Agriculture Year (Jul - Jun), 2017",1765800.000,340669.000,143950.000,127313.000,3178.000,1685.000,45718.000,77728.000,174494.000,851065.000,952906.000,101841.000
India,Andhra Pradesh,Kurnool,"Agriculture Year (Jul - Jun), 2013",1765800.000,340669.000,141756.000,127313.000,3577.000,1856.000,47300.000,71020.000,122696.000,909613.000,1001697.000,92084.000
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2016",1116100.000,441166.000,109890.000,130405.000,2704.000,32787.000,9824.000,41262.000,68029.000,280033.000,335523.000,55490.000
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2015",20239.000,0.000,972.000,506.000,494.000,715.000,1129.000,1285.000,854.000,14284.000,18485.000,4201.000
India,Andhra Pradesh,Srikakulam,"Agriculture Year (Jul - Jun), 2014",583700.000,68641.000,102274.000,48408.000,942.000,7451.000,602.000,14709.000,36365.000,304308.000,419064.000,114756.000
India,Arunachal Pradesh,Lower Subansiri,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Arunachal Pradesh,Changlang,"Agriculture Year (Jul - Jun), 2016",58373.000,0.000,3554.000,20174.000,1379.000,2882.000,1498.000,7597.000,2251.000,19038.000,25168.000,6130.000
India,Arunachal Pradesh,Anjaw,"Agriculture Year (Jul - Jun), 2015",20872.000,0.000,673.000,676.000,1280.000,483.000,6360.000,1897.000,1258.000,8245.000,8784.000,539.000
India,Arunachal Pradesh,Leparada,"Agriculture Year (Jul - Jun), 2016",,,,,,,,,,,,
India,Andhra Pradesh,Kurnool,"Agriculture Year (Jul - Jun), 2015",1765800.000,340669.000,143016.000,127313.000,3178.000,1685.000,46029.000,67090.000,184938.000,851882.000,917291.000,65409.000
India,Arunachal Pradesh,Unknown Districts Of India,"Agriculture Year (Jul - Jun), 2016",149732.000,0.000,9482.000,8922.000,5272.000,10819.000,14388.000,17520.000,10915.000,72414.000,99295.000,26881.000
India,Arunachal Pradesh,Tirap,"Agriculture Year (Jul - Jun), 2015",29660.000,0.000,427.000,244.000,1663.000,4702.000,5203.000,9259.000,2556.000,5606.000,9501.000,3895.000
India,Arunachal Pradesh,Kurung Kumey,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2012",1535900.000,500961.000,181090.000,222099.000,9409.000,6831.000,45921.000,81815.000,131767.000,356007.000,425113.000,69106.000
India,Andhra Pradesh,Srikakulam,"Agriculture Year (Jul - Jun), 2015",583700.000,68641.000,102285.000,48408.000,942.000,7451.000,602.000,14745.000,34780.000,305846.000,408850.000,103004.000
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2016",,,,,,,,,,,,
India,Arunachal Pradesh,Kurung Kumey,"Agriculture Year (Jul - Jun), 2016",6726.000,0.000,338.000,523.000,382.000,558.000,1874.000,568.000,1416.000,1067.000,1694.000,627.000
India,Arunachal Pradesh,Shi Yomi,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Leparada,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
